State	Station	Description
-------------------------------------------------------------------------------
Alabama	02403310	CHOCCOLOCCO CREEK NEAR BOILING SPRING  ALABAMA
Alabama	02342933	SOUTH FORK COWIKEE CREEK NEAR BATESVILLE AL
Alabama	02361000	CHOCTAWHATCHEE RIVER NEAR NEWTON  AL.
Alabama	02361500	CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL
Alabama	02362000	CHOCTAWHATCHEE RIVER NEAR GENEVA  ALABAMA
Alabama	02362240	LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE  AL.
Alabama	02363000	PEA RIVER NEAR ARITON AL
Alabama	02369800	BLACKWATER RIVER NEAR BRADLEY AL
Alabama	02371500	CONECUH RIVER AT BRANTLEY AL
Alabama	02372250	PATSALIGA CREEK NEAR BRANTLEY AL
Alabama	02372422	CONECUH RIVER BEL PT A DAM NR RIVER FALLS  AL.
Alabama	02373000	SEPULGA RIVER NEAR MCKENZIE AL
Alabama	02374250	CONECUH RIVER AT STATE HWY 41 NEAR BREWTON  AL
Alabama	02374500	MURDER CREEK NEAR EVERGREEN AL
Alabama	02374700	MURDER CREEK AT STATE HWY 41 AT BREWTON  AL.
Alabama	02374745	BURNT CORN CREEK AT STATE HWY 41 NEAR BREWTON
Alabama	02374950	BIG ESCAMBIA CR AT SARDINE BR NR STANLEY CROSS
Alabama	02376500	PERDIDO RIVER AT BARRINEAU PARK  FL
Alabama	02377570	STYX RIVER NEAR ELSANOR  AL.
Alabama	02378300	MAGNOLIA RIVER AT US 98 NEAR FOLEY  ALABAMA
Alabama	02378500	FISH RIVER NEAR SILVER HILL AL
Alabama	02398300	CHATTOOGA RIVER ABOVE GAYLESVILLE AL
Alabama	02398950	WEST FORK LITTLE R AT DESOTA PARK NR FORT PAYN
Alabama	02399200	LITTLE RIVER NEAR BLUE POND AL
Alabama	02400100	TERRAPIN CREEK AT ELLISVILLE AL
Alabama	02401000	BIG WILLS CREEK NEAR REECE CITY
Alabama	02401390	BIG CANOE CREEK AT ASHVILLE AL
Alabama	02403395	CHOCCOLOCCO C AT OXFORD  ALA
Alabama	02404400	CHOCCOLOCCO CREEK AT JACKSON SHOAL NR LINCOLN
Alabama	02405500	KELLY CREEK NEAR VINCENT AL
Alabama	02406500	TALLADEGA CREEK AT ALPINE AL
Alabama	02408540	HATCHET CREEK BELOW ROCKFORD AL
Alabama	02412000	TALLAPOOSA RIVER NEAR HEFLIN  ALA.
Alabama	02413300	LITTLE TALLAPOOSA RIVER NEAR NEWELL AL
Alabama	02414500	TALLAPOOSA RIVER AT WADLEY AL
Alabama	02414715	TALLAPOOSA RIVER NR NEW SITE  AL.(HORSESHOE BE
Alabama	02415000	HILLABEE CREEK NEAR HACKNEYVILLE AL
Alabama	02418230	SOUGAHATCHEE CREEK AT CO RD 188 NR LOACHAPOKA
Alabama	02419000	UPHAPEE CREEK NEAR TUSKEGEE AL
Alabama	02419890	TALLAPOOSA RIVER NEAR MONT.-MONT. WATER WORKS
Alabama	02421000	CATOMA CREEK NEAR MONTGOMERY AL
Alabama	02422500	MULBERRY CREEK AT JONES AL
Alabama	02423130	CAHABA RIVER AT TRUSSVILLE  AL.
Alabama	02423380	CAHABA RIVER NEAR MOUNTAIN BROOK AL
Alabama	02423397	LITTLE CAHABA RIVER BELOW LEEDS  AL.
Alabama	02423398	LITTLE CAHABA RIVER NEAR LEEDS AL
Alabama	02423425	CAHABA RIVER NEAR CAHABA HEIGHTS AL
Alabama	02423496	CAHABA RIVER NEAR HOOVER  AL
Alabama	02423500	CAHABA RIVER NEAR ACTON AL
Alabama	0242354750	CAHABA VALLEY CREEK AT CROSS CR RD AT PELHAM
Alabama	02423555	CAHABA RIVER NEAR HELENA AL
Alabama	02423586	SHADES CREEK NR HOMEWOOD  ALA
Alabama	02423630	SHADES CREEK NEAR GREENWOOD AL
Alabama	02424000	CAHABA RIVER AT CENTREVILLE AL
Alabama	02424590	CAHABA RIVER NEAR SUTTLE  AL.
Alabama	02425000	CAHABA RIVER NEAR MARION JUNCTION AL
Alabama	02427250	PINE BARREN CREEK NEAR SNOW HILL  AL.
Alabama	02428400	ALABAMA RIVER AT CLAIBORNE L&D NEAR MONROEVILL
Alabama	02438000	BUTTAHATCHEE RIVER BELOW HAMILTON AL
